task_id,timestamp_us,total_run_time,total_io_wait_time,total_ready_wait_time,delta
F,203811995,101806684,0,101905198,50
F,204311995,102056674,0,102155208,50
B,204461995,102196790,0,102165092,50
F,204811995,102306664,0,102405218,50
F,205311995,102556654,0,102655228,50
B,205561995,102746768,0,102715114,50
F,205811995,102806644,0,102905238,50
F,206311995,103056634,0,103155248,50
B,206661995,103296746,0,103265136,50
F,206811995,103306624,0,103405258,50
F,207310995,103556614,0,103655268,49
B,207757995,103844724,0,103814158,49
F,207807995,103805604,0,103903278,50
F,208307995,104054594,0,104153288,50
F,208807995,104304584,0,104403298,50
B,208857995,104394702,0,104363180,50
F,209307995,104554574,0,104653308,50
F,209807995,104804564,0,104903318,50
B,209957995,104944680,0,104913202,50
F,210307995,105054554,0,105153328,50
F,210807995,105304544,0,105403338,50
B,211057995,105494658,0,105463224,50
F,211307995,105554534,0,105653348,50
F,211807995,105804524,0,105903358,50
B,212157995,106044636,0,106013246,50
F,212307995,106054514,0,106153368,50
F,212807995,106304504,0,106403378,50
B,213257995,106594614,0,106563268,50
F,213307995,106554494,0,106653388,50
F,213805995,106804484,0,106901398,50
F,214305995,107054474,0,107151408,50
B,214355995,107142592,0,107113290,50
F,214805995,107304464,0,107401418,50
F,215303995,107552454,0,107651428,50
B,215453995,107692570,0,107661312,50
F,215802995,107802444,0,107900438,50
F,216302995,108052434,0,108150448,50
B,216552995,108241548,0,108211334,50
F,216802995,108302424,0,108400458,50
F,217302995,108552414,0,108650468,50
B,217652995,108791526,0,108761356,50
F,217802995,108802404,0,108900478,50
F,218302995,109052394,0,109150488,50
B,218752995,109341504,0,109311378,50
F,218802995,109302384,0,109400498,50
F,219299995,109550374,0,109650508,49
F,219799995,109800364,0,109899518,50
B,219849995,109890482,0,109859400,50
F,220298995,110050354,0,110148528,50
F,220798995,110300344,0,110398538,50
B,220948995,110439460,0,110409422,50
F,221298995,110550334,0,110648548,50
F,221798995,110800324,0,110898558,50
B,222048995,110989438,0,110959444,50
F,222298995,111050314,0,111148568,50
F,222796995,111300304,0,111396578,50
B,223146995,111537416,0,111509466,50
F,223296995,111550294,0,111646588,50
F,223795995,111799284,0,111896598,50
B,224244995,112086394,0,112058488,50
F,224294995,112049274,0,112145608,50
F,224794995,112299264,0,112395618,50
F,225294995,112549254,0,112645628,50
B,225344995,112636372,0,112608510,50
F,225794995,112799244,0,112895638,50
F,226293995,113049234,0,113144648,50
B,226443995,113185350,0,113158532,50
F,226793995,113299224,0,113394658,50
F,227293995,113549214,0,113644668,50
B,227543995,113735328,0,113708554,50
F,227792995,113799204,0,113893678,50
F,228292995,114049194,0,114143688,50
B,228642995,114284306,0,114258576,50
F,228792995,114299184,0,114393698,50
F,229292995,114549174,0,114643708,50
B,229742995,114834284,0,114808598,50
F,229792995,114799164,0,114893718,50
F,230292995,115049154,0,115143728,50
F,230792995,115299144,0,115393738,50
B,230842995,115384262,0,115358620,50
F,231291995,115548134,0,115643748,50
F,231791995,115798124,0,115893758,50
B,231941995,115934240,0,115907642,50
F,232291995,116048114,0,116143768,50
F,232791995,116298104,0,116393778,50
B,233041995,116484218,0,116457664,50
F,233291995,116548094,0,116643788,50
F,233791995,116798084,0,116893798,50
B,234141995,117034196,0,117007686,50
F,234291995,117048074,0,117143808,50
F,234791995,117298064,0,117393818,50
B,235241995,117584174,0,117557708,50
F,235291995,117548054,0,117643828,50
F,235791995,117798044,0,117893838,50
F,236291995,118048034,0,118143848,50
B,236341995,118134152,0,118107730,50
F,236791995,118298024,0,118393858,50
F,237288995,118548014,0,118641868,50
B,237437995,118682130,0,118655752,50
F,237787995,118796004,0,118891878,50
F,238287995,119045994,0,119141888,50
B,238537995,119232108,0,119205774,50
F,238787995,119295984,0,119391898,50
F,239287995,119545974,0,119641908,50
B,239637995,119782086,0,119755796,50
F,239787995,119795964,0,119891918,50
F,240287995,120045954,0,120141928,50
B,240737995,120332064,0,120305818,50
F,240786995,120295944,0,120391938,49
F,241284995,120545934,0,120638948,50
F,241783995,120795924,0,120888958,50
B,241833995,120879042,0,120854840,50
F,242282995,121044914,0,121138968,50
F,242782995,121293904,0,121388978,50
B,242932995,121429020,0,121403862,50
F,243282995,121543894,0,121638988,50
F,243782995,121793884,0,121888998,50
B,244032995,121978998,0,121953884,50
F,244282995,122043874,0,122139008,50
F,244781995,122292864,0,122389018,50
B,245131995,122528976,0,122502906,50
F,245280995,122542854,0,122639028,49
F,245779995,122792844,0,122887038,50
B,246228995,123076954,0,123052928,49
F,246278995,123042834,0,123137048,50
F,246777995,123290824,0,123387058,50
F,247277995,123540814,0,123637068,50
B,247327995,123626932,0,123600950,50
F,247777995,123790804,0,123887078,50
F,248275995,124040794,0,124135088,50
B,248425995,124174910,0,124150972,50
F,248775995,124290784,0,124385098,50
F,249275995,124540774,0,124635108,50
B,249525995,124724888,0,124700994,50
F,249775995,124790764,0,124885118,50
F,250275995,125040754,0,125135128,50
B,250624995,125273866,0,125251016,50
F,250774995,125290744,0,125384138,50
F,251270995,125540734,0,125631148,49
B,251719995,125818844,0,125801038,50
F,251769995,125790724,0,125879158,50
F,252269995,126040714,0,126129168,50
F,252769995,126290704,0,126379178,50
B,252819995,126368822,0,126351060,50
F,253269995,126540694,0,126629188,50
F,253769995,126790684,0,126879198,50
B,253919995,126918800,0,126901082,50
F,254269995,127040674,0,127129208,50
F,254769995,127290664,0,127379218,50
B,255019995,127468778,0,127451104,50
F,255269995,127540654,0,127629228,50
F,255769995,127790644,0,127879238,50
B,256119995,128018756,0,128001126,50
F,256269995,128040634,0,128129248,50
F,256769995,128290624,0,128379258,50
B,257218995,128568734,0,128551148,50
F,257268995,128540614,0,128628268,50
